id,name,type,study,promotion
Aero_Medical_Center,AMC,1,99,99
Aerospace_Medical_Division,AMD,1,99,99
Akademie_der_Wissenschaften,AdW,1,99,99
Apollo_Programm,Apollo,3,99,99
Army_Ballistic_Missile_Agency,ABMA,1,99,99
Berlin,Berlin,2,99,99
Bernhard_Tessmann,Tessmann,0,99,99
Bethesda,Bethesda,2,99,99
Bonn,Bonn,2,99,99
Chicago,Chicago,2,99,99
Cleveland,Cleveland,2,99,99
Dachau,Dachau,2,99,99
Deggendorf,Deggendorf,2,99,99
Deutsche_Akademie_fuer_Luftfahrtforschung,DAfL,1,99,99
Deutsche_Versuchsanstalt_fuer_Luftfahrt,DVfL,1,99,99
Deutsche_Akademie_der_Naturforscher_Leopoldina,Leopoldina,1,99,99
Dieter_Huzel,Huzel,0,1,0
Ebensee,Ebensee,2,99,99
Eberhard_Rees,Rees,0,1,0
Firma_Hatlapa,Firma_Hatlapa,1,99,99
Firma_Heylandt,Firma_Heylandt,1,99,99
Flugmedizinisches_Institut,FmI,1,99,99
Forschungsinstitut_fuer_Luftfahrtmedizin,FfL,1,99,99
Fort_Bliss,Fort_Bliss,2,99,99
Freiburg,Freiburg,2,99,99
Future_Launch_Systems_Study_Office,FLSSO,1,99,99
Gaithersburg,Gaithersburg,2,99,99
Gefangenschaft,Gefangenschaft,99,99,99
Gemini,Gemini,3,99,99
Georg_von_Tiesenhausen,Tiesenhausen,0,1,1
Goettingen,Goettingen,2,99,99
Halle,Halle,2,99,99
Hamburg,Hamburg,2,99,99
Heeresversuchsanstalt,HVA,1,99,99
Heereswaffenamt,HWA,1,99,99
Heidelberg,Heidelberg,2,99,99
Hubertus_Strughold,Strughold,0,1,1
Huntsville,Huntsville,2,99,99
Ingenieurschule_Hamburg,IngSchHam,1,99,99
Institut_fuer_Flugmedizin_der_deutschen_Versuchsanstalt,IfFddV,1,99,99
Institut_fuer_Weltraummedizin,IfW,1,99,99
Jueterbog,Jueterbog,2,99,99
Koelpinsee,Koelpinsee,2,99,99
Konrad_Schaefer,Schaefer,0,1,1
Konzentrationslager_Dachau,KZ_Dachau,1,99,99
Kummersdorf,Kummersdorf,2,99,99
Los_Angeles,Los_Angeles,2,99,99
Luftfahrtmedizinisches_Forschungsinstitut,LmFi,1,99,99
Luftwaffe,Luftwaffe,1,99,99
Max_von_Frey,Frey,0,1,1
Muenchen,Muenchen,2,99,99
Muenster,Muenster,2,99,99
National_Aeronautics_and_Space_Administration,NASA,1,99,99
Nationalsozialistische_Deutsche_Arbeiterpartei,NSDAP,1,99,99
Naval_Medical_Research_Institute,NMRI,1,99,99
North_American_Aviation,NAA,1,99,99
Peenemuende,Peenemuende,2,99,99
Physiologisches_Institut_Freiburg,PI_Freiburg,1,99,99
Physiologisches_Institut_Wuerzburg,PI_Wuerzburg,1,99,99
Randolph_Air_Force_Base,RAFB,1,99,99
Rechlin,Rechlin,2,99,99
Redstone,Redstone,3,99,99
Reichsluftfahrtministerium,RLFM,1,99,99
Saturn_V,Saturn_V,3,99,99
Schering_AG,Schering_AG,1,99,99
Siegfried_Ruff,Ruff,0,1,1
Sturmabteilung,SA,1,99,99
Test_Stand_12,TS12,3,99,99
Theodor_Benzinger,Benzinger,0,1,1
Uetersen,Uetersen,2,99,99
Universitaet_Heidelberg,Uni_Heidelberg,1,99,99
Universitaet_Goettingen,Uni_Goettingen,1,99,99
Universitaet_Muenchen,Uni_Muenchen,1,99,99
Universitaet_Muenster,Uni_Muenster,1,99,99
Universitaet_Wuerzburg,Uni_Wuerzburg,1,99,99
US_Air_Force,USAF,1,99,99
US_Airforce_Aviation_University,USAAU,1,99,9
US_Army,US_Army,1,99,99
V2,V2,1,99,99
Walter_Riedel,Riedel,0,1,1
Western_University,Uni_Western,1,99,99
White_Sands_Missile_Range,WSMR,1,99,99
Wuerzburg,Wuerzburg,2,99,99
Zeitschrift_Luftfahrtmedizin,Zeit_Lfm,1,99,99
National_Institute_of_Standards_and_Technology,NIoST,1,99,99